Waiting_Time_Type,Teta,Mu,Lambda,Analysis_type,PB,PD,PD1,PD2
Exponential,2,1,5.5,Simulation,0.084952,0.733121,0.387529,0.345592
Constant,2,1,5.6,Simulation,0.126148,0.695462,0.370649,0.324813
Exponential,2,1,5.6,Simulation,0.09007,0.731252,0.387125,0.344127
Constant,2,1,5.7,Simulation,0.134085,0.690896,0.368666,0.32223
Exponential,2,1,5.7,Simulation,0.098566,0.727258,0.383721,0.343537
Constant,2,1,5.8,Simulation,0.139951,0.687696,0.366527,0.321169
Exponential,2,1,5.8,Simulation,0.103722,0.723133,0.381674,0.341459
Constant,2,1,5.9,Simulation,0.147611,0.682513,0.362861,0.319652
Exponential,2,1,5.9,Simulation,0.11123,0.719271,0.379092,0.340179
Constant,2,1,6.0,Simulation,0.155071,0.67749,0.360809,0.316681
Exponential,2,1,6.0,Simulation,0.117985,0.71492,0.3772,0.33772
Constant,2,1,6.1,Simulation,0.163579,0.672754,0.358433,0.314321
Exponential,2,1,6.1,Simulation,0.124056,0.711924,0.375251,0.336673
Constant,2,1,6.2,Simulation,0.169854,0.669153,0.356563,0.31259
Exponential,2,1,6.2,Simulation,0.131068,0.708209,0.373919,0.33429
Constant,2,1,6.3,Simulation,0.176679,0.664465,0.354114,0.310351
Exponential,2,1,6.3,Simulation,0.137328,0.703879,0.370434,0.333445
Constant,2,1,6.4,Simulation,0.184434,0.65943,0.349792,0.309638
Exponential,2,1,6.4,Simulation,0.143673,0.700138,0.368453,0.331685
Constant,2,1,6.5,Simulation,0.191165,0.654629,0.348078,0.306551
Exponential,2,1,6.5,Simulation,0.150474,0.695835,0.36642,0.329415
Constant,2,1,6.6,Simulation,0.198951,0.649301,0.34629,0.303011
Exponential,2,1,6.6,Simulation,0.158076,0.690761,0.363309,0.327452
Constant,2,1,6.7,Simulation,0.20716,0.644083,0.341348,0.302735
Exponential,2,1,6.7,Simulation,0.164861,0.686332,0.359884,0.326448
Constant,2,1,6.8,Simulation,0.215327,0.637741,0.339376,0.298365
Exponential,2,1,6.8,Simulation,0.171855,0.680787,0.358185,0.322602
Constant,2,1,6.9,Simulation,0.221183,0.633179,0.335623,0.297556
Exponential,2,1,6.9,Simulation,0.179741,0.675451,0.354946,0.320505
Constant,2,1,7.0,Simulation,0.228518,0.629207,0.333693,0.295514
Exponential,2,1,7.0,Simulation,0.185657,0.671269,0.353752,0.317517
Constant,2,1,7.1,Simulation,0.23569,0.623786,0.330591,0.293195
Exponential,2,1,7.1,Simulation,0.193217,0.66585,0.350444,0.315406
Constant,2,1,7.2,Simulation,0.241789,0.619029,0.328225,0.290804
Exponential,2,1,7.2,Simulation,0.20039,0.66149,0.34736,0.31413
Constant,2,1,7.3,Simulation,0.249263,0.613447,0.325479,0.287968
Exponential,2,1,7.3,Simulation,0.206384,0.656198,0.345461,0.310737
Constant,2,1,7.4,Simulation,0.256895,0.60796,0.322125,0.285835
Exponential,2,1,7.4,Simulation,0.211601,0.65279,0.342841,0.309949
